"user_name","user_description","user_link","location","investments","followers","date"
"SwipeAds","CAPTCHA Security & Advertising","https://angel.co/swipeads","Brisbane","Jun ’16",11,2016-06-01
"FunCaptcha","","https://angel.co/funcaptcha","Brisbane","Jun ’16",5,2016-06-01
"HaystackHQ","Visual analytics for legal eDiscovery","https://angel.co/haystackhq","Brisbane","Oct ’11",52,2011-10-01
"Churn.tv","Endless channels of online video.","https://angel.co/churn-tv","Brisbane","Feb ’14",18,2014-02-01
"LEAPIN Digital Keys","Better Access","https://angel.co/leapin-digital-keys","Gold Coast","May ’13",24,2013-05-01
"Corilla","Collaboration tools for technical writers","https://angel.co/corilla","Brisbane","Feb ’15",18,2015-02-01
"River City Labs Accelerator","Seed accelerator program powered by muru-D","https://angel.co/river-city-labs-accelerator","Brisbane","Feb ’16",9,2016-02-01
"Smithsoft","Mobile and Web Application Expertise","https://angel.co/smithsoft","Brisbane","Feb ’15",3,2015-02-01
"ilab Accelerator","ilab is a thriving accelerator that turns tech startups into successful global ventures.","https://angel.co/ilab-accelerator","Brisbane","Jul ’13",55,2013-07-01
"Coltpay","Online and SMS P2P Payments","https://angel.co/coltpay","Brisbane","Jan ’13",6,2013-01-01
"Nextwin","Social Betting Network","https://angel.co/nextwin-1","Roma","Jul ’16",6,2016-07-01
"Composeright Software","Re-writing the way we write in education","https://angel.co/composeright-software-1","Buderim","Aug ’13",9,2013-08-01
"Wikifashion","The ultimate fashion resource.","https://angel.co/wikifashion","Brisbane","Jul ’11",38,2011-07-01
"Hungry Apps","Food and Beverage Mobile Ordering","https://angel.co/hungry-apps","Brisbane","May ’12",25,2012-05-01
"QSPectral Systems","Enabling Connected Health","https://angel.co/qspectral-systems","Brisbane","Jan ’15",4,2015-01-01
"Freegler","Airbnb for household items","https://angel.co/freegler","Brisbane","May ’13",18,2013-05-01
"Boss Ranger","Fixing Poker Training","https://angel.co/boss-ranger","Brisbane","May ’16",1,2016-05-01
"GO1","Learning Management made Easy","https://angel.co/go1com","Brisbane","Jun ’15",18,2015-06-01
"Shabu","The most straightforward way to increase total body strength for beginners.","https://angel.co/shabu-1","Gold Coast","Jan ’16",2,2016-01-01
"Magneto Communications Pty","Business-writing innovation for Microsoft Office","https://angel.co/magneto-communications-pty","Brisbane","Nov ’13",7,2013-11-01
"JSON Resume","A community driven open source initiative to create a JSON based standard for resumes","https://angel.co/json-resume","Brisbane","Aug ’14",7,2014-08-01
"Tagly","Digital engagement SaaS platform for enterprizes","https://angel.co/tagly","Brisbane","Dec ’13",22,2013-12-01
"Starts at 60","online community for active over 60s","https://angel.co/starts-at-60","Brisbane","Sep ’14",18,2014-09-01
"Hirehive","Peer-To-Peer Rentals. For Filmmakers.","https://angel.co/hirehive","Brisbane","May ’14",23,2014-05-01
"Tripcover","Standalone car rental excess insurance","https://angel.co/tripcover-1","Gold Coast","Oct ’13",17,2013-10-01
"Event Zero","Data-driven Sustainability","https://angel.co/event-zero","Brisbane","Jun ’12",17,2012-06-01
"Cobimo","Get new hires productive faster","https://angel.co/cobimo","Brisbane","Feb ’16",2,2016-02-01
"Boardcave","Find, Compare & Customise Surfboards.","https://angel.co/boardcave","Gold Coast","May ’14",14,2014-05-01
"Dextr","A simpler, smarter, faster keyboard that makes texting on a touchscreen as easy as ABC!","https://angel.co/dextr-1","Brisbane","Sep ’13",20,2013-09-01
"Hydric Media","Tech Studio for the Music Industry","https://angel.co/hydric-media","Brisbane","Jan ’16",6,2016-01-01
"Social.iQ","","https://angel.co/social-iq","Brisbane","Mar ’13",13,2013-03-01
"meVu","eSporting Gambling Community","https://angel.co/mevu-3","Brisbane","Dec ’15",4,2015-12-01
"TwoCents Group","We Are Good Ideas","https://angel.co/twocents-group","Brisbane","Nov ’12",15,2012-11-01
"Pelofy","Social group cycling","https://angel.co/pelofy","Brisbane","Jan ’14",16,2014-01-01
"TIASSISTO24","Don’t worry,  just drive","https://angel.co/tiassisto24","Roma","Oct ’14",6,2014-10-01
"Ephox / TinyMCE","Embed WYSIWYG rich text editing in your app","https://angel.co/ephox","Palo Alto","Feb ’13",20,2013-02-01
"Narratif","Discover conversations and influencers in social media","https://angel.co/narratif","Brisbane","Jul ’14",15,2014-07-01
"Flystein","21st century travel agency","https://angel.co/flystein","Brisbane","Apr ’16",6,2016-04-01
"Helloify","Business messaging reinvented","https://angel.co/helloify","Gold Coast","Dec ’14",4,2014-12-01
"RedEye Apps","Cloud based Engineering Drawing Management Solution","https://angel.co/redeye-apps","Brisbane","Jun ’15",28,2015-06-01
"Bancha","The best way to manage your vacation rental.","https://angel.co/bancha-2","Roma","Jul ’14",5,2014-07-01
"CloudMGR","Visibility and Control of your AWS Cloud","https://angel.co/cloudmgr","San Francisco","Apr ’16",3,2016-04-01
"WunderWalk","instant personal outings anytime, anywhere","https://angel.co/wunderwalk","Brisbane","Nov ’14",11,2014-11-01
"Smooth Operator","The most effiecient POS on the Market","https://angel.co/smooth-operator","Brisbane","Apr ’14",12,2014-04-01
"Haystack","Your contact details - synced with everybody","https://angel.co/haystack-7","Brisbane","Oct ’13",11,2013-10-01
"Outfit","Web based brand and marketing asset templating and production tool","https://angel.co/outfit-1","Brisbane","Nov ’14",4,2014-11-01
"SKWOD","Popular fitness trainers selling access to their exclusive squads","https://angel.co/skwod","Brisbane","Feb ’16",8,2016-02-01
"Puntaa","Bet cash with your mates, on any event and get paid all, on your mobile.","https://angel.co/puntaa","Brisbane","Oct ’15",8,2015-10-01
"Pimovation Pty","We help people do Project Management, better.","https://angel.co/pimovation-pty","Brisbane","Jun ’14",10,2014-06-01
"HSK Instruments","Respiratory physiotherapy, revolutionised","https://angel.co/hsk-instruments-1","Brisbane","Dec ’14",9,2014-12-01
"iSpiMi","Connecting local customers with local businesses","https://angel.co/ispimi","Brisbane","Sep ’15",5,2015-09-01
"Utilities.com.au","Scalable Disruptive Comparison Technology","https://angel.co/utilities-com-au","Brisbane","Mar ’15",3,2015-03-01
"Refactor","","https://angel.co/refactor","Gold Coast","Apr ’14",8,2014-04-01
"Jenio","The smartest way to find a pro","https://angel.co/jenio-1","Roma","Aug ’15",7,2015-08-01
"GCDuino","Arduino Electronics kits for big kids and little kids","https://angel.co/gcduino","Gold Coast","Mar ’15",2,2015-03-01
"Tanjo","Automated Bills Payments and Budgeting","https://angel.co/tanjo","Brisbane","Sep ’15",3,2015-09-01
"fastabook","online booking service for everyday services","https://angel.co/fastabook","Brisbane","Aug ’14",6,2014-08-01
"agAlytics","A breakthrough in agricultural testing","https://angel.co/agalytics","Brisbane","Jan ’16",3,2016-01-01
"TEMSCORP","Build Faster and Smarter Deliver Quality Results","https://angel.co/tems-2","San Francisco","Oct ’15",5,2015-10-01
"Sidelab","Helping Enterprise Customers Successfully Engage with New Technologies","https://angel.co/sidelab","Brisbane","Mar ’12",7,2012-03-01
"Tootle Search","Google for TOR Browser","https://angel.co/tootle-search-1","Brisbane","Apr ’16",2,2016-04-01
"Spike Innovation","Advisor to early stage tech startups. Pitch coaching specialist.","https://angel.co/spike-innovation","Brisbane","Jan ’13",7,2013-01-01
"Konveen","Konveen is an Enterprise meeting solution","https://angel.co/konveen","Cairns","Sep ’14",7,2014-09-01
"FitQuick","Find fitness experts fast","https://angel.co/fitquick","Brisbane","Sep ’14",5,2014-09-01
"HungryHero","Customers on demand","https://angel.co/hungryhero-1","Brisbane","Feb ’14",5,2014-02-01
"City Publicity","The online publicity agency","https://angel.co/city-publicity","Brisbane","Mar ’15",2,2015-03-01
"Ensizon","We create AWESOME Internet of Things (IoT)","https://angel.co/ensizon","Brisbane","Apr ’14",4,2014-04-01
"Skyborne Technologies","Autonomous Hybrid Drones","https://angel.co/tylt-airborne-systems","Brisbane","Jun ’15",11,2015-06-01
"GoCatalyze","Intuitive business process accelerator","https://angel.co/gocatalyze","Brisbane","Aug ’13",9,2013-08-01
"Nakili Organics","Inspiring happiness!","https://angel.co/nakili-organics","Brisbane","Dec ’13",5,2013-12-01
"Fathom","Beautiful Financial Reporting","https://angel.co/fathom-1","Brisbane","Jul ’14",13,2014-07-01
"Two Forte","Startup design and development","https://angel.co/two-forte","Brisbane","Apr ’15",2,2015-04-01
"uonbusiness","The Next Generation of Business Networking","https://angel.co/uonbusiness","Brisbane","Mar ’15",4,2015-03-01
"Telagram","Share life, live","https://angel.co/telagram","Brisbane","Oct ’12",19,2012-10-01
"A-Z Online Shop","Looking to expand world wide","https://angel.co/a-z-online-shop","Brisbane","Oct ’14",4,2014-10-01
"Whazzo","Mobile Event & Ticket Platform","https://angel.co/whazzo-2","Roma","May ’14",11,2014-05-01
"AgDNA","A big-data analytics engine","https://angel.co/agdna","Brisbane","Apr ’15",10,2015-04-01
"CartHopper","Get your stuff moved by someone going your way","https://angel.co/carthopper","Gold Coast","May ’14",4,2014-05-01
"SPARK BUREAU","coworking, incubator and accelerator","https://angel.co/spark-bureau","Brisbane","Oct ’15",3,2015-10-01
"Tech Tidal","Queensland's startup media voice.","https://angel.co/tech-tidal","Brisbane","Feb ’14",7,2014-02-01
"Uwantabet","monetising sports traffic","https://angel.co/uwantabet","Brisbane","Oct ’11",7,2011-10-01
"Turnout","Crowd funding for live music events","https://angel.co/turnout-1","Brisbane","Jul ’12",15,2012-07-01
"Bitcoin Miners","High ROI Bitcoin Mining project","https://angel.co/bitcoin-miners","Brisbane","Feb ’14",27,2014-02-01
"Noble NoBull","Create Art (Film, Music, Books, Talent) that will stand the test of time...","https://angel.co/noble-nobull","Gold Coast","Feb ’15",1,2015-02-01
"NoobTrader","Selling online for newbies","https://angel.co/noobtrader","Cairns","Feb ’11",12,2011-02-01
"Squirrelr","Proactive online budgeting (mint.com)","https://angel.co/squirrelr","Gold Coast","Jul ’13",6,2013-07-01
"Fotostat","Fotostat is the central hub where photographers can manage their online presence.","https://angel.co/fotostat","Gold Coast","Jan ’13",9,2013-01-01
"Living Room of Satoshi","Pay bills with Bitcoin","https://angel.co/living-room-of-satoshi","Brisbane","Jun ’14",11,2014-06-01
"2ndLease","sharing platform for appliances and other household goods","https://angel.co/2ndlease","Brisbane","Mar ’16",2,2016-03-01
"Geospike","The Social Travel Journal","https://angel.co/geospike","Brisbane","Mar ’13",12,2013-03-01
"Pummel","Reach your goals with your own personal coach","https://angel.co/pummel","Gold Coast","Jun ’16",4,2016-06-01
"TripYada","Social sign-in for travel sites and apps","https://angel.co/tripyada","Gold Coast","Dec ’14",3,2014-12-01
"mobiActivation","Mobile applications to redefine social engagment","https://angel.co/mobiactivation","Townsville City","Sep ’15",1,2015-09-01
"Join My Wedding","Meetup/Eventbrite for Weddings - buy&sell tickets to weddings around the world","https://angel.co/join-my-wedding","Brisbane","Aug ’15",5,2015-08-01
"The Eikonico Project","Gameplay exploring transhumanist states, integrating world-building and self-governance.","https://angel.co/the-eikonico-project","Brisbane","Mar ’12",10,2012-03-01
"Eclat Cloud","Exited","https://angel.co/eclat","Brisbane","Aug ’13",3,2013-08-01
"www.blktatu.com","Mailbox for a drone","https://angel.co/www-blktatu-com","Townsville City","Sep ’15",4,2015-09-01
"VisaRoom","Connecting Million of Visa Applicants To Thousand of Migration Agents.","https://angel.co/visaroom","Brisbane","Apr ’15",3,2015-04-01
"Starving Kids","","https://angel.co/starving-kids","Brisbane","Jan ’15",1,2015-01-01
"White Horse Audio","Audio Hire and Event Company","https://angel.co/white-horse-audio","Brisbane","Jan ’15",1,2015-01-01
"Olly's Box","Olly's Box, a subscription e-commerce company for dog-lovers.","https://angel.co/ollysbox","Brisbane","Aug ’13",4,2013-08-01
"STCA Town Planning","CoreLogic for Town Planning Data","https://angel.co/stca-town-planning","Brisbane","Nov ’15",4,2015-11-01
"Inkspired","A tool for emerging writers to publish and crowdfund amazing serial stories.","https://angel.co/inkspired","Brisbane","Mar ’15",3,2015-03-01
"HungryLead","Hustlin for Startups!","https://angel.co/flopbid","Brisbane","Jun ’15",1,2015-06-01
"Fiftysix Creations","A build it yourself tablet and coding kit for kids!","https://angel.co/fiftysix","Brisbane","Jun ’16",1,2016-06-01
"HuddleIn","Share and discover with the world.","https://angel.co/huddlein","Brisbane","Sep ’11",9,2011-09-01
"Keegan Ventures","Your Startup Advisor","https://angel.co/keegan-ventures","Brisbane","Jul ’16",6,2016-07-01
"Lucid Industries","Trigga : Social Alarm App","https://angel.co/trigga","Brisbane","Feb ’15",15,2015-02-01
"See-out","Personal and brand reputation management","https://angel.co/see-out","Brisbane","Feb ’14",11,2014-02-01
"TalentVine","TalentVine connects employers to a selection of bidding recruiters via silent auction.","https://angel.co/talentvine","Brisbane","Mar ’15",7,2015-03-01
"NEXTRIDE","The Executive Travel App","https://angel.co/nextride","Brisbane","Jan ’15",1,2015-01-01
"Anionu","Cloud-based video surveillance service","https://angel.co/anionu","Brisbane","Feb ’14",3,2014-02-01
"Sourcey","Coding and Cloud Infrastructure for Startups","https://angel.co/sourcey","Brisbane","Feb ’14",3,2014-02-01
"StompStart","Showcase, promote and discover the latest startup gold.","https://angel.co/stompstart","Brisbane","May ’15",3,2015-05-01
"Silver Siphon","Automatic Stripe to Xero Sync","https://angel.co/silver-siphon","Brisbane","Apr ’15",2,2015-04-01
"Hilenium","Marketing workflows for agencies","https://angel.co/hilenium","Brisbane","Jul ’15",2,2015-07-01
"OneRecruit","Recruiting Software That Works","https://angel.co/onerecruit","Gold Coast","Mar ’15",7,2015-03-01
"Yesthanks","Coupon Deals & Business Directory","https://angel.co/yesthanks","Brisbane","Feb ’16",1,2016-02-01
"Prickle Co","Energy efficiency in mining","https://angel.co/prickleco","Brisbane","May ’15",5,2015-05-01
"Seeker Central","Crowdsourced Shopping Marketplace","https://angel.co/seeker-central","Brisbane","Aug ’15",7,2015-08-01
"Phenomec","Virtual and Augmented Reality Headset","https://angel.co/phenomec","Brisbane","Sep ’14",6,2014-09-01
"MyMentor","The Matchmaker for Mentors and Mentees","https://angel.co/mymentor","Brisbane","Jun ’15",12,2015-06-01
"TwoCents","Global Marketing Company For SMEs","https://angel.co/twocents-2","Brisbane","May ’13",3,2013-05-01
"MetaMunch","Consumable Business Data","https://angel.co/metamunch","Brisbane","Nov ’13",7,2013-11-01
"Tag'd","We get lost pets home faster","https://angel.co/tag-d-1","Brisbane","Mar ’14",5,2014-03-01
"Explanimate!","Explainer videos for winners.","https://angel.co/explanimate","Brisbane","May ’12",5,2012-05-01
"mypresences","Worlds best Local Marketing Platform","https://angel.co/mypresences","Brisbane","Dec ’13",9,2013-12-01
"Creative Hearts Group","We source, coordinate & deliver supplies for corporate, event companies & venues.","https://angel.co/creative-hearts-group","Brisbane","Jan ’13",4,2013-01-01
"Wonderland Babes","Online Boutique Australia","https://angel.co/wonderland-babes","Brisbane","Jul ’14",4,2014-07-01
"BuddyVerse","Connecting & Educating Kids Through Minecraft","https://angel.co/buddyverse","Brisbane","Nov ’15",10,2015-11-01
"Horoscorpio","original networking facility","https://angel.co/horoscorpio-1","Gold Coast","Sep ’14",2,2014-09-01
"Stellarpaths","A personalised consultant in your pocket. (FindThebest)","https://angel.co/stellarpaths","Brisbane","May ’15",2,2015-05-01
"AussieFaithful","","https://angel.co/aussiefaithful","Brisbane","May ’16",1,2016-05-01
"SignUp.fyi","Better signups for clubs and societies","https://angel.co/signupfyi","Brisbane","Dec ’15",3,2015-12-01
"Picovi","Interactive and data-driven infographics","https://angel.co/picovi","Brisbane","Nov ’13",7,2013-11-01
"Cribber","Private bulletin broadcasts for construction worksites","https://angel.co/cribber","Brisbane","Aug ’15",2,2015-08-01
"Hatch","Time capsule app","https://angel.co/hatch-6","Brisbane","Feb ’15",2,2015-02-01
"Bespoke Insights","Regulatory cost-of-capital automation","https://angel.co/bespoke-insights","Brisbane","Oct ’15",2,2015-10-01
"Laevo","Business Transformation software platform","https://angel.co/laevo","Brisbane","May ’16",3,2016-05-01
"Hypometer","Summarise the social internet","https://angel.co/hypometer","Brisbane","Feb ’15",8,2015-02-01
"iRecruit Australia","Perfect Match Algorithm Recruitment App","https://angel.co/irecruit-australia","Brisbane","Dec ’15",6,2015-12-01
"Genesis AR","A new era of trading card gaming","https://angel.co/genesis-ar","Gold Coast","Feb ’16",6,2016-02-01
"Fivewise","Manufacturing Intelligence","https://angel.co/fivewise","Brisbane","Jan ’14",4,2014-01-01
"Clipchamp","Fast and easy video sharing & collecting for B2C and B2B","https://angel.co/clipchamp","Brisbane","Dec ’14",5,2014-12-01
"Shop My Town","Like Yellow Pages on Steroids","https://angel.co/shop-my-town","Brisbane","Mar ’16",4,2016-03-01
"Audacious Digital","Track your stuff","https://angel.co/audacious-digital","Toowoomba","May ’16",4,2016-05-01
"BikeRoar","Tripadvisor for Bikes","https://angel.co/bikeroar","Brisbane","Feb ’13",14,2013-02-01
"Youbiquiti","Smartphone Alert Currator & Productivity App","https://angel.co/youbiquiti","Brisbane","Sep ’14",6,2014-09-01
"Snipe for eBay","Simply Tinder for eBay","https://angel.co/snipe-for-ebay","Brisbane","Jan ’16",1,2016-01-01
"UniQuestions","Building a Global University Network, through Knowledge","https://angel.co/uniquestions","Brisbane","Jun ’12",11,2012-06-01
"BizForms","Electronic Mobile forms & Workflow Management","https://angel.co/bizforms","Brisbane","May ’14",8,2014-05-01
"Kitovu","Task management for client work","https://angel.co/kitovu","Brisbane","Dec ’13",7,2013-12-01
"Zissou Aquarium Automation","The helper for your aquarium","https://angel.co/zissou-aquarium-automation","Roma","May ’15",3,2015-05-01
"OverseasDoc","Career Program for International Medical Graduates (Doctors)","https://angel.co/overseasdoc","Vila Velha","Aug ’15",4,2015-08-01
"KinderCloud","Online Allied Health for Kids","https://angel.co/kindercloud-1","Brisbane","Mar ’15",3,2015-03-01
"Yojay Chillin","International Artist Recognition (Music)","https://angel.co/yojay-chillin","Brisbane","Mar ’14",3,2014-03-01
"ResApp Health","Digital healthcare for respiratory disease.","https://angel.co/resapp-health","Brisbane","Jun ’15",4,2015-06-01
"GetScheduled.co","Beautiful appointment software","https://angel.co/getscheduled-co","Brisbane","May ’15",4,2015-05-01
"Freewill","Provides an alternative to bartering and encourages abundance","https://angel.co/freewill","Gold Coast","Apr ’13",1,2013-04-01
"Earth Wind & Sun s.r.l.","innovative,hi-tech,cheap and powerful,power quality assessment,Energy Saving,IoT","https://angel.co/earth-wind-sun-s-r-l-1","Gaeta","Dec ’15",6,2015-12-01
"Journeum","Lonely Planet killer - downloadable travel guides","https://angel.co/journeum","Brisbane","Feb ’12",4,2012-02-01
"N-Vision Australia","","https://angel.co/n-vision-australia","Brisbane","Oct ’13",2,2013-10-01
"bowerbirdcuriositiesunlimited","franchised themed social media/ virtual worlds","https://angel.co/bowerbirdcuriositiesunlimited","Brisbane","Mar ’13",5,2013-03-01
"idroplan","irrigation made smarter","https://angel.co/idroplan","Roma","May ’15",6,2015-05-01
"The IT Bunch","Your IT Swiss Army Knife","https://angel.co/the-it-bunch","Brisbane","Mar ’12",3,2012-03-01
"HungryHero","Customers on demand","https://angel.co/hungryhero","Brisbane","Apr ’13",13,2013-04-01
"Umi","Connecting you to your soulmate","https://angel.co/umi","Brisbane","Apr ’15",2,2015-04-01
"Vibesonic","Innovating Health","https://angel.co/vibesonic","Brisbane","Dec ’15",1,2015-12-01
"bowerbirdcuriositiesunlimited","A cyberverse-all embracing webnetwork of virtualenterprise","https://angel.co/bowerbirdcuriositiesunlimited-1","Brisbane","Apr ’13",4,2013-04-01
"1Enrol","Enrolment platform for International students industry","https://angel.co/1enrol","Brisbane","Aug ’15",4,2015-08-01
"Lex&Go","Affordable Legal Services for Everybody","https://angel.co/lex-go","Roma","May ’15",2,2015-05-01
"ClzBy","'Amazon' of Local Services","https://angel.co/clzby","Brisbane","Aug ’14",11,2014-08-01
"Maid2Match","Homejoy located in Brisbane","https://angel.co/maid2match","Brisbane","Apr ’15",2,2015-04-01
"Maid2Match","Homejoy located in Brisbane","https://angel.co/maid2match-1","Brisbane","Apr ’15",1,2015-04-01
"Revo Deck Pty","decking and fence material supply through eCommerce channel.","https://angel.co/revo-deck-pty","Brisbane","Oct ’14",4,2014-10-01
"PhotoStory","High Definition & More Beautiful Photo Books for Asia","https://angel.co/photostory-1","Gold Coast","Sep ’15",2,2015-09-01
"Handle My Complaint","Professional complainers making complaints quick, easy & painless.","https://angel.co/handle-my-complaint","Brisbane","Mar ’12",5,2012-03-01
"Happen","do life better.","https://angel.co/happen-1","Brisbane","Sep ’15",5,2015-09-01
"Parda","Innovative Software & App Development Company","https://angel.co/parda","Brisbane","Sep ’15",1,2015-09-01
"LifeOS","Operating System for your Life","https://angel.co/lifeos","Gold Coast","Mar ’16",2,2016-03-01
"Everwealth","Personal finances. Made simple.","https://angel.co/everwealth","Brisbane","Jul ’16",2,2016-07-01
"Didgigo","B2B Digital Content and Promotion Management","https://angel.co/didgigo","Cairns","Apr ’13",2,2013-04-01
"Cloubum","We keep your photos and videos safe, so you don't have to worry.","https://angel.co/cloubum","Gold Coast","Jan ’13",4,2013-01-01
"Whish Contractors","Invest in the Construction Industry","https://angel.co/whish-contractors","Brisbane","Jan ’16",1,2016-01-01
"PRO biZ&U","Revolutionaries the way we do business through ideas and innovation.","https://angel.co/pro-biz-u","Brisbane","May ’16",1,2016-05-01
"Seditious Technologies","Numerical analysis for the open web","https://angel.co/seditious-technologies","Brisbane","Feb ’12",5,2012-02-01
"Skedulo","Enterprise Workforce Scheduling & Mobility","https://angel.co/skedulo","Brisbane","Jun ’14",5,2014-06-01
"The Property Pool","Web Based Property Management","https://angel.co/the-property-pool","Gold Coast","May ’15",2,2015-05-01
"Process PA","Your association or board managed in the cloud","https://angel.co/process-pa","Brisbane","Feb ’16",4,2016-02-01
"Shopalink","Image connecting people needs","https://angel.co/shopalink-1","Brisbane","Feb ’13",5,2013-02-01
"Trevor","1-Click Apply for Any Job on the Web","https://angel.co/trytrevorstartup","Brisbane","Apr ’15",3,2015-04-01
"Kasimir","filmmaker","https://angel.co/kasimir","Townsville City","May ’15",1,2015-05-01
"The Lettuce Store","The novelty gift store chain yet to be born","https://angel.co/the-lettuce-store","Brisbane","Nov ’15",1,2015-11-01
"Art Market Space","A Revolutionary Art Market Platform","https://angel.co/art-market-space","Brisbane","Aug ’15",3,2015-08-01
"Where2Tonight","Drink, food and entertainment deal finder","https://angel.co/where2tonight","Brisbane","Nov ’13",3,2013-11-01
"Marc Adamson","Silent Investor required for a 50% company and profit share","https://angel.co/marc-adamson-1","Brisbane","Jul ’15",1,2015-07-01
"0","0","https://angel.co/jumble-2","Brisbane","Aug ’15",4,2015-08-01
"Dynamic Conversations","Entertaining on-line learning for Small Business","https://angel.co/dynamic-conversations","Cairns","Jun ’15",2,2015-06-01
"FitFlirter","Dating for sports and fitness enthusiasts","https://angel.co/fitflirter","Brisbane","Feb ’15",3,2015-02-01
"BattleFit","Challenge based mobile fitness app","https://angel.co/battlefit","Gold Coast","Sep ’14",2,2014-09-01
"Zeno","Internet for Gamers","https://angel.co/zeno-2","Brisbane","Oct ’14",4,2014-10-01
"Kerby Australia","Give Away, Donate and Swap your unwanted goods","https://angel.co/kerby-australia","Brisbane","May ’14",4,2014-05-01
"Skyumbel","Virtual Memorial Park","https://angel.co/skyumbel-pty","Gold Coast","Feb ’16",1,2016-02-01
"22 Laps","Bicycle Marketplace","https://angel.co/22laps","Brisbane","May ’15",1,2015-05-01
"Metaset","Crowdsource video for content curators.","https://angel.co/metaset","Brisbane","Apr ’14",4,2014-04-01
"GSL Innovations Pty","Convenient Home Access","https://angel.co/gsl-innovations-pty","Brisbane","Jul ’14",5,2014-07-01
"uMetta","Global crowd-source resources, time,  funds and support.","https://angel.co/umetta","Brisbane","Oct ’15",1,2015-10-01
"SportUPs","Tinder for team sports","https://angel.co/sportups","Brisbane","Feb ’16",1,2016-02-01
"Coves","Netflix for the lives of digital influencers","https://angel.co/coves","Brisbane","Mar ’16",3,2016-03-01
"Cookoo","The Ultimate Foodie's Photosharing Service","https://angel.co/cookoo","Brisbane","May ’13",4,2013-05-01
"Horoscorpio","Self Astrology based online networking portal","https://angel.co/horoscorpio","Gold Coast","Sep ’12",10,2012-09-01
"AroundAbout","Tinder for food, drinks and activities.","https://angel.co/aroundabout","Brisbane","Mar ’16",2,2016-03-01
